NAME,NAMELSAD,inc_date,p1850,d1850,p1860,d1860,d1860SF,p1870,d1870,p1880,d1880,p1890,d1890,d1890SF,p1900,d1900,p1910,d1910,p1920,d1920,d1920SF,p1930,d1930,p1940,d1940,p1950,d1950,d1950SF,p1960,d1960,p1970,d1970,p1980,d1980,d1980SF,p1990,d1990,p2000,d2000,p2010,d2010,d2010SF,GEOID,ALAND_MI
Santa_Barbara,Santa Barbara,1850,1185,0.43,3543,1.3,1.3,7784,2.85,9513,3.48,15754,5.76,5.76,18934,7,27738,10,41097,15,15,65167,24,70555,26,98220,36,36,168962,62,264324,97,298694,109,109,369608,135,399347,146,423895,155,155,6083,2735.148048
Santa_Clara,Santa Clara,1850,,0,11912,9.23,9.23,26246,20.33,35039,27.14,48005,37.18,37.18,60216,47,83539,65,100676,78,78,145118,112,174949,135,290547,225,225,642315,497,1065313,825,1295071,1003,1003,1497577,1160,1682585,1303,1781642,1380,1380,6085,1291.206723
Santa_Cruz,Santa Cruz,1850,643,1.44,4944,11.11,11.11,8743,19.64,12802,28.76,19270,43.29,43.29,21512,48,26140,59,26269,59,59,37433,84,45057,101,66534,149,149,84219,189,123790,278,188141,423,423,229734,516,255602,574,262382,589,589,6087,445.1632309
Shasta,Shasta,1850,378,0.1,4360,1.15,1.15,4173,1.11,9492,2.51,12133,3.21,3.21,17318,5,18920,5,13361,4,4,13927,4,28800,8,36413,10,10,59468,16,77640,21,115613,31,31,147036,39,163256,43,177223,47,47,6089,3775.395907
Sierra,Sierra,1852,,0,11387,11.95,11.95,5619,5.9,6623,6.95,5051,5.3,5.3,4017,4,4098,4,1783,2,2,2422,3,3025,3,2410,3,3,2247,2,2365,2,3073,3,3,3318,3,3555,4,3240,3,3,6091,953.168349
Siskiyou,Siskiyou,1852,,0,7629,1.22,1.22,6848,1.09,8610,1.37,12163,1.94,1.94,16962,3,18801,3,18545,3,3,25480,4,28598,5,30733,5,5,32885,5,33225,5,39732,6,6,43531,7,44301,7,44900,7,7,6093,6278.767814
Solano,Solano,1850,580,0.71,7169,8.72,8.72,16871,20.53,18475,22.48,20946,25.49,25.49,24143,29,27559,34,40602,49,49,40834,50,49118,60,104833,128,128,134597,164,171989,209,235203,286,286,340421,414,394542,480,413344,503,503,6095,821.7594834
Sonoma,Sonoma,1850,560,0.36,11867,7.53,7.53,19819,12.58,25926,16.45,32721,20.76,20.76,38480,24,48394,31,52090,33,33,62222,39,69052,44,103405,66,66,147375,94,204885,130,299681,190,190,388222,246,458614,291,483878,307,307,6097,1575.856939
Stanislaus,Stanislaus,1854,,0,2245,1.5,1.5,6499,4.34,8751,5.85,10040,6.71,6.71,9550,6,22522,15,43557,29,29,56641,38,74866,50,127231,85,85,157294,105,194506,130,265900,178,178,370522,248,446997,299,514453,344,344,6099,1496.00488
Sutter,Sutter,1850,3444,5.72,3390,5.63,5.63,5030,8.35,5159,8.56,5469,9.08,9.08,5886,10,6328,11,10115,17,17,14618,24,18680,31,26239,44,44,33380,55,41935,70,52246,87,87,64415,107,78930,131,94737,157,157,6101,602.4258159
Tehama,Tehama,1856,,0,4044,1.37,1.37,3587,1.22,9301,3.15,9916,3.36,3.36,10996,4,11401,4,12882,4,4,13866,5,14316,5,19276,7,7,25305,9,29517,10,38888,13,13,49625,17,56039,19,63463,22,22,6103,2949.136742
Trinity,Trinity,1850,1635,0.51,5125,1.61,1.61,3213,1.01,4999,1.57,3719,1.17,1.17,4383,1,3301,1,2551,1,1,2809,1,3970,1,5087,2,2,9706,3,7615,2,11858,4,4,13063,4,13022,4,13786,4,4,6105,3179.267659
Tulare,Tulare,1852,,0,4638,0.96,0.96,4533,0.94,11281,2.34,24574,5.09,5.09,18375,4,35440,7,59031,12,12,77442,16,107152,22,149264,31,31,168403,35,188322,39,245738,51,51,311921,65,368021,76,442179,92,92,6107,4824.284303
Tuolumne,Tuolumne,1850,8351,3.76,16229,7.31,7.31,8150,3.67,7848,3.53,6082,2.74,2.74,11166,5,9979,4,7768,3,3,9271,4,10887,5,12584,6,6,14404,6,22169,10,33928,15,15,48456,22,54504,25,55365,25,25,6109,2220.890355
Ventura,Ventura,1872,,0,,0,0,,0,5073,2.75,10071,5.46,5.46,14367,8,18347,10,28724,16,16,54976,30,69685,38,114647,62,62,199138,108,378497,205,529174,287,287,669016,363,753197,409,823318,447,447,6111,1842.98257
Yolo,Yolo,1850,1086,1.07,4716,4.65,4.65,9899,9.75,11772,11.6,12684,12.5,12.5,13618,13,13926,14,17105,17,17,23644,23,27243,27,40640,40,40,65727,65,91788,90,113374,112,112,141092,139,168660,166,200849,198,198,6113,1014.775612
Yuba,Yuba,1850,9673,15.3,13668,21.63,21.63,10851,17.17,11284,17.85,9636,15.25,15.25,8620,14,10042,16,10375,16,16,11331,18,17034,27,24420,39,39,33859,54,44736,71,49733,79,79,58228,92,60219,95,72155,114,114,6115,632.0159978
